country,year,hdicode,region
Sao Tome and Principe,2022,Medium,Sub-Saharan Africa
Saudi Arabia,2022,Very High,Arab States
Senegal,2022,Low,Sub-Saharan Africa
Serbia,2022,Very High,Europe and Central Asia
Seychelles,2022,Very High,Sub-Saharan Africa
Sierra Leone,2022,Low,Sub-Saharan Africa
Singapore,2022,Very High,East Asia and the Pacific
Slovakia,2022,Very High,Others
Slovenia,2022,Very High,Others
Solomon Islands,2022,Medium,East Asia and the Pacific
Somalia,2022,Low,Arab States
South Africa,2022,High,Sub-Saharan Africa
South Sudan,2022,Low,Sub-Saharan Africa
Spain,2022,Very High,Others
Sri Lanka,2022,High,Sub-Saharan Africa
Sudan,2022,Low,Arab States
Suriname,2022,Medium,Latin America and the Caribbean
Sweden,2022,Very High,Europe and Central Asia
Switzerland,2022,Very High,Others
Syrian Arab Republic,2022,Medium,Arab States
Tajikistan,2022,Medium,Europe and Central Asia
Tanzania (United Republic of),2022,Low,Sub-Saharan Africa
Thailand,2022,Very High,East Asia and the Pacific
Timor-Leste,2022,Medium,East Asia and the Pacific
Togo,2022,Low,Sub-Saharan Africa
Tonga,2022,High,East Asia and the Pacific
Trinidad and Tobago,2022,Very High,Latin America and the Caribbean
Tunisia,2022,High,Arab States
Türkiye,2022,Very High,Europe and Central Asia
Turkmenistan,2022,High,Europe and Central Asia
Tuvalu,2022,Medium,East Asia and the Pacific
Uganda,2022,Medium,Sub-Saharan Africa
Ukraine,2022,High,Europe and Central Asia
United Arab Emirates,2022,Very High,Arab States
United Kingdom,2022,Very High,Others
United States,2022,Very High,Others
Uruguay,2022,Very High,Latin America and the Caribbean
Uzbekistan,2022,High,Europe and Central Asia
Vanuatu,2022,Medium,East Asia and the Pacific
Venezuela (Bolivarian Republic of),2022,Medium,Latin America and the Caribbean
Viet Nam,2022,High,East Asia and the Pacific
Yemen,2022,Low,Arab States
Zambia,2022,Medium,Sub-Saharan Africa
Zimbabwe,2022,Medium,Sub-Saharan Africa
